sID,dR,dI,gameLength,choice,rt
2,25.666667,1,10,2,0.563003
2,-5.333333,1,5,1,0.455427
2,8.500000,0,10,1,0.492003
2,-17.500000,0,5,1,0.251427
2,35.000000,0,10,2,0.300003
2,17.000000,0,10,2,0.299003
2,-0.500000,0,10,2,1.175003
2,-10.500000,0,5,2,0.855427
2,26.500000,0,5,1,0.393427
2,19.666667,-1,10,2,0.320003
2,-2.500000,0,5,1,1.046427
2,-4.666667,1,5,2,0.333427
2,30.000000,-1,5,2,0.742427
2,11.000000,-1,5,2,0.727427
2,9.500000,0,10,1,1.492003
2,-18.000000,0,5,1,0.772427
2,17.000000,-1,10,2,0.504003
2,3.666667,1,5,2,1.185427
2,-8.000000,0,10,2,0.562003
2,44.333333,1,10,2,0.548003
2,1.000000,0,10,1,0.570003
2,-11.500000,0,10,1,0.424003
2,-9.000000,0,5,1,0.196427
2,42.000000,1,5,2,0.378427
2,-5.666667,1,5,1,0.737427
2,-6.333333,-1,10,2,0.328003
2,-6.000000,0,5,1,0.907427
2,3.500000,0,5,2,0.302427
2,-36.000000,1,5,1,0.217427
2,-44.333333,1,5,1,0.179427
2,12.500000,0,10,1,1.196003
2,-20.333333,1,10,1,0.295003
2,-4.500000,0,5,2,0.666427
2,15.666667,1,10,2,0.606003
2,9.666667,1,10,2,0.771003
2,-12.000000,0,10,1,1.019003
2,36.500000,0,10,2,0.251003
2,14.333333,-1,5,2,0.264427
2,-25.500000,0,10,1,0.378003
2,-1.500000,0,10,2,0.581003
2,-11.333333,-1,5,1,1.115427
2,-43.000000,-1,10,1,0.513003
2,8.500000,0,5,2,0.473427
2,-19.333333,1,5,1,0.226427
2,-7.000000,1,10,1,0.199003
2,-28.666667,-1,10,1,0.622003
2,0.000000,-1,5,1,1.217427
2,-24.666667,-1,5,1,0.277427
2,25.500000,0,10,2,0.650003
2,-4.000000,0,10,1,0.239003
2,32.333333,1,5,2,0.882427
2,-20.000000,0,10,1,0.384003
2,12.666667,1,5,2,0.396427
2,-25.000000,-1,5,1,0.226427
2,12.500000,0,10,2,0.523003
2,4.000000,0,10,2,0.805003
2,0.666667,1,5,2,0.633427
2,9.000000,0,5,1,0.375427
2,-7.500000,0,5,1,0.816427
2,-20.000000,0,10,1,0.443003
2,-11.333333,1,10,1,0.781003
2,-7.000000,-1,10,2,0.520003
2,10.000000,-1,5,2,0.383427
2,24.000000,0,5,2,0.327427
2,-9.000000,1,10,2,0.578003
2,-7.000000,1,5,2,0.849427
2,14.666667,1,5,1,0.642427
2,8.666667,-1,5,2,0.708427
2,27.666667,1,5,2,0.305427
2,6.000000,1,5,2,0.392427
2,3.500000,0,10,2,0.478003
2,-11.500000,0,10,2,0.312003
2,18.500000,0,10,2,0.895003
2,23.500000,0,5,2,0.268427
2,19.000000,-1,5,2,0.397427
2,-11.000000,-1,10,1,0.442003
2,5.000000,1,10,2,0.336003
2,25.000000,0,5,2,1.045427
2,39.500000,0,5,2,0.268427
2,-15.000000,1,10,2,2.057003
2,-14.000000,0,5,1,0.231427
2,-16.333333,1,5,1,0.257427
2,-22.666667,1,5,2,0.414427
2,25.500000,0,5,2,0.394427
2,-26.666667,1,5,1,0.212427
2,36.500000,0,5,2,0.323427
2,43.666667,-1,10,2,0.875003
2,-3.333333,-1,5,2,0.444427
2,-5.500000,0,10,2,0.266003
2,50.333333,-1,5,2,0.146427
2,-16.000000,-1,5,1,0.415427
2,-28.000000,0,10,1,1.556003
2,-1.000000,-1,5,2,0.374427
2,-24.000000,0,10,1,0.346003
2,-21.666667,1,10,2,0.738003
2,-20.500000,0,5,1,0.166427
2,-7.500000,0,10,1,0.685003
2,19.500000,0,10,2,2.090003
2,7.000000,0,10,2,0.578003
2,27.666667,1,5,2,0.498427
2,11.500000,0,5,2,0.242427
2,23.333333,1,5,1,0.295427
2,11.000000,0,10,2,1.117003
2,-5.666667,1,5,1,0.447427
2,25.500000,0,10,2,0.334003
2,-33.500000,0,10,1,0.839003
2,18.333333,1,10,2,0.277003
2,9.000000,0,5,1,0.449427
2,-29.000000,0,5,1,0.239427
2,-21.500000,0,10,1,0.662003
2,-5.000000,-1,5,1,0.533427
2,22.333333,1,5,2,0.250427
2,17.000000,1,10,2,0.835003
2,27.500000,0,10,2,0.433003
2,10.500000,0,10,2,0.963003
2,17.000000,0,5,2,1.617427
2,13.333333,-1,5,1,0.552427
2,22.500000,0,5,1,1.438427
2,37.000000,0,10,2,0.648003
3,-21.666667,-1,10,1,0.985899
3,-20.000000,-1,10,1,0.479899
3,-3.000000,-1,5,2,0.149407
3,19.666667,-1,5,2,1.097407
3,-5.666667,-1,5,1,0.339407
3,-13.500000,0,10,1,0.204899
3,36.500000,0,10,2,0.092899
3,-11.000000,-1,10,1,2.619899
3,17.666667,1,10,2,0.778899
3,4.500000,0,5,2,1.112407
3,18.000000,0,10,2,0.566899
3,-13.000000,0,10,2,0.751899
3,-28.000000,1,10,2,0.148899
3,-4.500000,0,5,1,0.995407
3,4.000000,0,10,2,0.306899
3,19.000000,1,5,2,1.561407
3,-19.500000,0,5,2,1.642407
3,4.000000,-1,5,1,1.458407
3,-39.000000,0,10,1,0.123899
3,-4.500000,0,5,2,1.146407
3,-6.000000,0,5,1,0.303407
3,13.333333,-1,10,2,0.345899
3,2.333333,-1,10,2,0.380899
3,2.000000,0,10,2,0.676899
3,-31.000000,0,10,1,0.326899
3,17.333333,-1,10,2,0.855899
3,3.666667,1,5,1,0.172407
3,31.000000,1,5,2,0.617407
3,17.000000,-1,10,2,1.048899
3,5.666667,1,10,2,1.677899
3,-6.000000,1,10,2,0.394899
3,22.666667,1,10,2,0.232899
3,10.500000,0,5,1,1.205407
3,19.000000,0,5,1,0.530407
3,7.666667,1,10,2,0.481899
3,30.500000,0,5,2,0.188407
3,1.000000,-1,10,2,0.567899
3,6.500000,0,5,1,0.945407
3,11.000000,0,5,1,0.484407
3,2.500000,0,5,1,1.453407
3,4.000000,0,10,1,0.300899
3,-26.000000,0,5,1,0.112407
3,5.000000,0,10,2,0.450899
3,-4.000000,-1,10,1,1.052899
3,5.666667,1,5,1,0.609407
3,-3.333333,-1,5,2,0.325407
3,-11.333333,-1,10,1,0.393899
3,-10.333333,1,5,1,0.216407
3,-16.500000,0,10,1,1.163899
3,-2.333333,1,5,2,1.076407
3,-12.500000,0,10,1,2.293899
3,-17.666667,1,10,2,1.608899
3,-18.500000,0,10,1,1.064899
3,-8.500000,0,5,1,2.539407
3,1.000000,0,10,1,0.629899
3,32.666667,-1,10,2,0.252899
3,24.000000,0,10,2,0.816899
3,-36.000000,1,5,1,1.394407
3,9.333333,1,10,2,0.263899
3,-8.500000,0,5,1,0.435407
3,-22.666667,-1,5,1,0.546407
3,-12.333333,1,10,2,0.641899
3,28.500000,0,10,2,0.190899
3,31.500000,0,10,2,0.154899
3,-17.000000,1,10,1,1.145899
3,1.500000,0,10,2,0.263899
3,-1.666667,1,10,2,2.215899
3,5.666667,1,10,1,0.649899
3,4.000000,0,10,2,0.215899
3,-20.000000,0,10,2,0.243899
3,-17.333333,-1,5,2,1.138407
3,8.666667,1,5,2,0.751407
3,-18.000000,0,10,1,0.754899
3,12.000000,0,10,2,0.568899
3,5.666667,1,5,1,0.937407
3,-9.333333,1,5,1,0.425407
3,20.000000,1,5,2,0.157407
3,10.000000,0,5,1,0.212407
3,-30.500000,0,10,1,0.128899
3,-5.500000,0,5,2,1.127407
3,23.500000,0,5,1,0.410407
3,-8.500000,0,10,1,0.484899
3,19.333333,-1,5,2,0.825407
3,-2.000000,0,5,2,0.860407
3,14.000000,0,10,2,1.339899
3,15.000000,0,5,1,0.907407
3,-5.000000,0,5,2,0.879407
3,0.500000,0,5,1,0.240407
3,4.666667,-1,5,2,0.157407
3,-2.666667,-1,10,1,0.142899
3,5.500000,0,5,2,1.703407
3,24.000000,0,5,2,0.241407
3,-11.000000,0,10,2,0.297899
3,-49.000000,1,5,1,0.147407
3,2.000000,1,10,2,0.941899
3,-2.333333,1,10,2,1.191899
3,34.000000,0,5,2,0.105407
3,4.666667,-1,10,1,0.374899
3,26.000000,1,10,2,0.391899
3,-16.000000,1,10,2,0.215899
3,10.000000,-1,5,2,0.750407
3,36.000000,-1,5,2,0.784407
3,13.666667,-1,5,2,0.804407
3,-34.000000,0,10,1,0.371899
3,5.000000,0,10,2,1.026899
3,-18.666667,1,10,2,0.239899
3,13.500000,0,10,2,0.529899
3,-22.000000,0,10,1,1.128899
3,28.500000,0,10,2,0.168899
3,-23.333333,-1,5,1,1.888407
3,-28.000000,1,5,1,0.313407
3,30.000000,-1,5,2,0.684407
3,20.333333,1,5,2,0.182407
3,-20.666667,-1,5,1,0.264407
3,-30.000000,1,5,1,0.294407
3,14.000000,1,10,2,0.119899
3,19.000000,0,5,2,0.561407
3,-12.500000,0,10,2,0.556899
3,-8.000000,0,10,2,0.445899
3,26.000000,0,5,2,0.220407
3,2.333333,1,5,1,1.353407
3,-14.500000,0,5,1,0.262407
3,8.000000,0,10,2,0.247899
3,-6.000000,0,10,1,0.700899
3,6.000000,-1,5,2,1.005407
3,-39.500000,0,10,1,0.172899
3,23.500000,0,5,2,0.223407
3,-3.333333,-1,5,1,0.539407
3,4.000000,-1,5,2,1.337407
3,-28.000000,1,10,1,0.256899
3,-8.000000,0,5,1,0.161407
3,-31.000000,0,5,1,0.894407
3,-27.666667,1,5,1,0.148407
3,-7.333333,-1,10,2,1.123899
3,3.500000,0,10,2,0.291899
3,-15.500000,0,5,1,0.242407
3,-9.666667,-1,5,2,0.536407
3,-13.666667,1,5,1,0.185407
3,26.000000,0,5,1,0.369407
3,6.666667,-1,5,2,0.475407
3,-27.500000,0,5,1,0.137407
3,28.500000,0,10,2,0.782899
3,28.666667,-1,10,2,0.196899
3,-3.000000,0,5,2,1.103407
3,-15.000000,1,10,1,0.480899
3,-15.000000,1,5,1,0.575407
3,13.333333,-1,5,2,0.776407
3,-1.500000,0,5,1,0.212407
3,-15.333333,-1,5,1,0.445407
3,-16.500000,0,5,1,0.437407
3,1.000000,0,5,2,0.416407
3,17.000000,0,10,2,0.610899
3,2.333333,1,10,1,1.035899
3,-16.333333,-1,5,1,0.342407
3,20.000000,-1,5,2,0.662407
3,32.000000,0,10,2,0.393899
3,21.500000,0,5,2,0.354407
3,-21.500000,0,10,1,0.910899
3,-13.000000,0,10,1,2.460899
3,4.000000,0,10,1,0.453899
3,6.000000,0,10,1,1.455899
3,-18.666667,-1,10,1,0.874899
3,4.333333,1,5,2,0.580407
3,-5.333333,-1,5,1,1.046407
3,-15.500000,0,5,1,0.916407
3,-15.000000,0,5,2,0.604407
3,6.000000,1,10,2,0.375899
3,-1.500000,0,10,1,1.058899
3,6.333333,-1,5,2,2.021407
3,21.500000,0,5,1,2.198407
3,-5.000000,0,10,1,0.440899
3,-10.666667,1,5,1,0.346407
3,33.000000,-1,5,2,0.276407
3,28.666667,-1,5,2,0.282407
3,-34.000000,0,5,1,0.210407
3,21.500000,0,5,2,0.170407
3,17.000000,-1,10,1,0.523899
3,-15.666667,-1,10,2,0.379899
3,-3.000000,0,5,1,0.436407
3,-3.000000,0,10,1,0.608899
3,35.666667,-1,10,2,0.209899
3,3.500000,0,5,1,1.357407
3,26.500000,0,5,2,0.246407
3,-16.500000,0,5,1,0.617407
3,-2.000000,0,10,2,1.437899
3,31.000000,-1,5,2,0.552407
3,11.666667,-1,5,2,0.703407
3,29.000000,0,10,2,0.163899
3,33.000000,-1,10,2,0.212899
3,1.333333,-1,10,1,0.204899
3,-18.333333,1,5,1,0.129407
3,-0.500000,0,5,1,0.555407
3,12.000000,1,5,2,1.611407
3,3.500000,0,5,1,0.303407
3,7.666667,1,5,1,0.244407
3,-36.500000,0,10,1,0.438899
3,8.000000,0,10,2,0.947899
3,-26.500000,0,10,1,0.146899
3,-25.500000,0,10,1,0.629899
3,1.000000,0,10,1,0.694899
3,27.666667,-1,10,2,0.211899
3,8.333333,1,5,1,0.408407
3,19.000000,0,5,2,3.195407
3,-24.666667,1,10,1,0.203899
3,-12.000000,-1,10,2,1.068899
3,-24.333333,1,5,1,0.156407
3,34.333333,1,5,2,0.258407
3,11.000000,-1,5,2,0.560407
3,21.333333,1,10,2,0.118899
3,6.500000,0,5,2,0.312407
3,3.000000,0,5,1,1.673407
3,-10.000000,0,10,1,0.867899
3,38.000000,1,10,2,0.524899
3,-16.000000,0,10,1,0.162899
3,-4.500000,0,5,1,1.353407
3,-29.666667,1,5,1,0.233407
3,-11.000000,-1,5,2,1.040407
3,-4.000000,0,10,1,0.571899
3,27.000000,0,5,2,0.189407
3,-26.500000,0,10,1,0.278899
3,17.000000,0,10,1,0.395899
3,10.333333,-1,10,2,1.587899
3,14.333333,1,5,2,1.359407
3,15.666667,-1,10,2,0.679899
3,-7.500000,0,10,1,0.197899
3,1.000000,1,10,1,1.160899
3,-22.666667,1,5,1,0.383407
3,21.666667,-1,10,2,0.314899
3,-21.000000,0,5,1,0.236407
3,44.666667,1,10,2,0.126899
3,-11.000000,0,5,1,0.975407
3,0.000000,1,5,2,1.888407
3,-9.333333,-1,10,2,0.602899
3,16.000000,0,5,2,1.489407
3,-31.000000,0,5,1,0.253407
3,21.500000,0,10,2,1.824899
3,4.500000,0,5,2,0.295407
3,7.666667,1,5,1,0.503407
3,41.333333,1,10,2,0.090899
3,-21.000000,0,5,1,1.463407
3,3.500000,0,10,2,0.532899
3,-6.000000,0,10,2,0.193899
3,1.000000,0,5,1,1.069407
3,24.000000,0,10,2,0.272899
3,-23.000000,0,5,1,0.426407
3,-24.666667,1,10,1,0.183899
3,-31.333333,1,10,1,0.192899
3,5.000000,1,5,1,0.650407
3,14.000000,0,10,2,0.808899
3,31.000000,1,10,2,0.067899
3,-24.000000,-1,10,1,0.395899
3,-7.000000,-1,5,1,0.411407
3,-14.500000,0,5,1,2.520407
3,-21.000000,0,5,1,0.335407
3,34.500000,0,10,2,0.207899
3,-13.000000,-1,10,1,0.525899
3,-26.000000,-1,10,1,0.552899
3,12.333333,1,10,2,0.430899
3,-26.333333,1,10,1,2.579899
3,-25.500000,0,10,1,0.159899
3,1.000000,0,10,2,0.335899
3,-6.333333,-1,10,1,0.323899
3,-25.500000,0,5,1,0.270407
3,15.666667,1,10,2,0.275899
3,40.333333,1,10,2,0.172899
3,-33.000000,0,5,1,0.183407
3,25.000000,-1,10,2,1.019899
3,-10.666667,-1,10,2,0.200899
3,-37.000000,-1,5,1,0.524407
3,0.666667,-1,10,2,0.551899
3,-11.000000,1,10,2,0.428899
3,-9.666667,-1,10,1,2.398899
3,8.333333,-1,10,1,0.396899
3,9.000000,0,5,2,0.557407
3,-35.333333,-1,10,1,0.355899
3,47.000000,1,5,2,0.248407
3,2.500000,0,5,2,0.949407
3,-13.000000,0,5,1,0.872407
3,-31.000000,1,10,1,1.003899
3,-26.666667,-1,10,1,0.113899
3,-12.666667,-1,5,1,0.097407
3,-3.500000,0,10,2,0.771899
3,19.333333,1,5,2,0.673407
3,11.000000,-1,10,2,0.641899
3,-11.500000,0,10,1,0.879899
3,6.500000,0,5,2,0.371407
3,-1.333333,1,10,2,0.652899
3,-9.000000,1,5,2,0.624407
3,7.000000,0,5,2,3.017407
3,-22.500000,0,10,1,0.258899
3,15.000000,0,10,2,0.706899
3,4.000000,-1,10,1,0.564899
3,15.000000,0,10,2,0.482899
3,4.000000,0,5,2,0.223407
3,-9.000000,0,5,1,1.068407
3,2.000000,0,10,1,0.610899
3,-16.500000,0,5,1,1.189407
3,32.000000,0,5,2,0.309407
3,-8.666667,1,10,2,0.347899
3,34.333333,1,5,2,0.204407
3,41.500000,0,5,2,0.262407
3,-10.000000,0,10,2,1.908899
3,-12.333333,1,10,2,0.205899
3,22.000000,0,10,2,0.304899
3,-8.666667,1,5,2,0.326407
3,2.000000,0,5,2,2.936407
3,-23.000000,0,5,1,0.398407
3,-24.666667,-1,5,1,1.151407
3,-6.666667,1,5,1,0.572407
3,30.500000,0,10,2,0.399899
3,-15.000000,0,10,1,0.841899
3,31.000000,1,5,2,0.251407
3,-51.666667,-1,5,1,0.761407
3,5.000000,0,10,2,0.490899
3,-19.000000,0,5,1,0.534407
3,-13.500000,0,5,1,0.272407
3,-21.000000,-1,5,1,0.195407
3,18.666667,-1,5,2,0.699407
3,-12.000000,-1,5,2,0.455407
3,15.000000,0,10,2,0.780899
7,-17.666667,1,10,2,1.399102
7,24.333333,1,10,2,0.474102
7,-27.000000,0,5,1,0.784907
7,35.000000,-1,10,2,0.709102
7,-13.666667,-1,5,1,0.790907
7,4.000000,1,5,2,0.416907
7,-34.666667,-1,10,1,0.551102
7,13.000000,0,5,2,0.830907
7,-6.000000,0,5,1,1.058907
7,-1.000000,-1,10,2,0.506102
7,13.000000,-1,5,2,0.208907
7,-1.000000,-1,10,2,0.595102
7,32.000000,-1,5,2,0.644907
7,-9.000000,0,10,2,0.703102
7,-3.666667,-1,5,1,0.694907
7,14.666667,-1,10,2,1.019102
7,8.000000,0,10,1,0.480102
7,-9.000000,1,10,1,1.481102
7,-2.000000,0,10,1,0.491102
7,12.333333,-1,5,2,0.161907
7,-26.500000,0,5,1,0.313907
7,-3.000000,0,10,2,0.319102
7,15.666667,1,10,2,0.428102
7,40.000000,1,10,1,0.735102
7,6.333333,1,10,2,0.600102
7,0.333333,1,10,1,0.333102
7,25.500000,0,10,2,1.663102
7,-25.500000,0,10,1,0.614102
7,25.333333,1,5,2,3.569907
7,12.333333,-1,5,2,0.842907
7,2.666667,-1,5,2,0.416907
7,24.000000,0,5,2,0.657907
7,5.500000,0,5,2,0.547907
7,26.000000,0,10,2,0.500102
7,-1.500000,0,10,1,1.114102
7,-9.666667,1,5,1,0.834907
7,24.000000,0,10,2,1.486102
7,13.000000,-1,10,2,0.471102
7,-14.666667,1,10,2,0.563102
7,-14.000000,0,10,1,0.665102
7,20.500000,0,10,2,0.512102
7,-10.666667,-1,10,1,2.599102
7,3.000000,1,10,2,0.915102
7,32.500000,0,10,2,0.706102
7,-21.000000,0,10,1,0.565102
7,-36.000000,0,5,1,0.219907
7,-1.000000,0,5,2,0.904907
7,8.333333,-1,10,2,1.856102
7,24.000000,-1,10,2,1.144102
7,0.000000,0,5,2,1.251907
7,15.500000,0,10,2,0.465102
7,13.000000,-1,5,2,0.248907
7,9.000000,1,10,2,0.739102
7,13.000000,0,10,2,0.682102
7,0.666667,1,10,1,1.346102
7,-0.333333,-1,10,2,0.704102
7,29.000000,0,10,2,1.561102
7,35.500000,0,5,2,0.387907
7,-29.000000,0,10,1,0.574102
7,5.000000,1,5,1,2.736907
7,-7.666667,1,10,1,0.306102
7,1.333333,1,5,1,0.277907
7,21.333333,1,5,2,0.475907
7,-5.000000,0,10,2,0.835102
7,-4.666667,-1,10,1,0.586102
7,-11.666667,1,5,1,1.574907
7,18.666667,1,10,2,1.287102
7,25.500000,0,10,2,0.528102
7,12.000000,0,10,2,0.490102
7,-11.000000,0,5,1,1.455907
7,-11.666667,-1,10,1,1.345102
7,-0.500000,0,5,2,2.751907
7,-36.333333,-1,5,1,0.184907
7,-33.000000,0,10,1,1.662102
7,2.333333,1,10,2,1.359102
7,-6.500000,0,5,2,0.370907
7,-21.000000,1,5,1,0.319907
7,31.000000,1,10,2,0.946102
7,5.000000,0,5,2,1.034907
7,11.000000,0,5,2,1.968907
7,8.000000,0,5,2,1.119907
7,33.000000,0,5,2,0.131907
7,-4.500000,0,5,1,0.380907
7,-17.500000,0,10,1,1.297102
7,-19.666667,-1,10,1,0.727102
7,-5.333333,1,5,2,0.427907
7,-11.666667,1,10,2,0.398102
7,-1.500000,0,10,1,0.329102
7,-15.000000,0,10,1,0.500102
7,-20.333333,-1,10,1,0.474102
7,-18.333333,-1,10,1,0.656102
7,8.333333,1,10,1,0.924102
7,5.000000,0,10,2,1.782102
7,33.000000,-1,5,2,0.189907
7,-21.500000,0,5,1,2.109907
7,1.666667,1,5,2,0.520907
7,3.000000,0,5,2,0.165907
7,12.000000,1,10,2,1.956102
7,-3.666667,-1,10,2,1.159102
7,20.500000,0,5,2,2.275907
7,30.500000,0,5,2,0.352907
7,-42.000000,0,10,1,0.179102
7,-2.000000,1,5,1,0.644907
7,-1.666667,-1,10,2,0.370102
